read16185 36848 0.012314802229169499 0.0 0.014 0.01 0.04 read11658
read5190 36848 0.0058671737063696865 0.0 0.0 0.0 0.0 read9828
read7677 36800 0.024063879653349322 0.008 0.098 0.02 0.17 read8235
read5748 36800 0.029619453221596374 0.034 0.08333333333333333 0.07 0.07 read1195
read8874 36800 0.032140327940295255 0.014 0.022 0.03 0.01 read15929
read5489 36800 0.021844990342501158 0.036 0.012 0.01 0.02 read9796
read6324 36800 0.023167706942135245 0.012 0.022 0.01 0.01 read7346
read5868 36751 0.03301140393954275 0.012 0.028 0.03 0.02 read15929
read14702 36751 0.01633453119895459 0.01 0.0 0.01 0.0 read9441
read1473 36751 0.0223069590085796 0.0 0.008 0.01 0.02 read2258
